"","model_scenario","Category","Year","marketsize"
"1","AIM/CGE 2.0_SSP1-26","C3","2020",25109.3791
"2","AIM/CGE 2.0_SSP1-26","C3","2030",21983.1642
"3","AIM/CGE 2.0_SSP1-26","C3","2040",17235.4798
"4","AIM/CGE 2.0_SSP1-26","C3","2050",17109.4871
"5","AIM/CGE 2.0_SSP1-26","C3","2060",16968.9169
"6","AIM/CGE 2.0_SSP1-26","C3","2070",16325.3728
"7","AIM/CGE 2.0_SSP1-26","C3","2080",16560.3175
"8","AIM/CGE 2.0_SSP1-26","C3","2090",15960.5346
"9","AIM/CGE 2.0_SSP1-26","C3","2100",15776.1926
"10","AIM/CGE 2.0_SSP1-34","C5","2020",25109.3791
"11","AIM/CGE 2.0_SSP1-34","C5","2030",25384.7066
"12","AIM/CGE 2.0_SSP1-34","C5","2040",23431.5316
"13","AIM/CGE 2.0_SSP1-34","C5","2050",20758.9716
"14","AIM/CGE 2.0_SSP1-34","C5","2060",17658.1037
"15","AIM/CGE 2.0_SSP1-34","C5","2070",16364.2914
"16","AIM/CGE 2.0_SSP1-34","C5","2080",16147.4334
"17","AIM/CGE 2.0_SSP1-34","C5","2090",16147.6351
"18","AIM/CGE 2.0_SSP1-34","C5","2100",15969.1776
"19","AIM/CGE 2.0_SSP1-45","C6","2020",24744.2406
"20","AIM/CGE 2.0_SSP1-45","C6","2030",27280.819
"21","AIM/CGE 2.0_SSP1-45","C6","2040",28103.459
"22","AIM/CGE 2.0_SSP1-45","C6","2050",26842.6969
"23","AIM/CGE 2.0_SSP1-45","C6","2060",24852.0134
"24","AIM/CGE 2.0_SSP1-45","C6","2070",22807.8187
"25","AIM/CGE 2.0_SSP1-45","C6","2080",20616.5621
"26","AIM/CGE 2.0_SSP1-45","C6","2090",18755.0508
"27","AIM/CGE 2.0_SSP1-45","C6","2100",17211.7659
"28","AIM/CGE 2.0_SSP4-26","C3","2020",29722.8605
"29","AIM/CGE 2.0_SSP4-26","C3","2030",24682.1331
"30","AIM/CGE 2.0_SSP4-26","C3","2040",21668.3124
"31","AIM/CGE 2.0_SSP4-26","C3","2050",24965.2155
"32","AIM/CGE 2.0_SSP4-26","C3","2060",27443.3558
"33","AIM/CGE 2.0_SSP4-26","C3","2070",28186.9572
"34","AIM/CGE 2.0_SSP4-26","C3","2080",27269.8265
"35","AIM/CGE 2.0_SSP4-26","C3","2090",26063.9522
"36","AIM/CGE 2.0_SSP4-26","C3","2100",24969.4091
"37","AIM/CGE 2.0_SSP4-34","C5","2020",29722.8605
"38","AIM/CGE 2.0_SSP4-34","C5","2030",29146.0339
"39","AIM/CGE 2.0_SSP4-34","C5","2040",26961.0787
"40","AIM/CGE 2.0_SSP4-34","C5","2050",25349.559
"41","AIM/CGE 2.0_SSP4-34","C5","2060",23760.9299
"42","AIM/CGE 2.0_SSP4-34","C5","2070",23758.9824
"43","AIM/CGE 2.0_SSP4-34","C5","2080",23892.0217
"44","AIM/CGE 2.0_SSP4-34","C5","2090",24087.3757
"45","AIM/CGE 2.0_SSP4-34","C5","2100",24618.953
"46","AIM/CGE 2.0_SSP4-45","C6","2020",29722.8605
"47","AIM/CGE 2.0_SSP4-45","C6","2030",32616.0335
"48","AIM/CGE 2.0_SSP4-45","C6","2040",33690.0141
"49","AIM/CGE 2.0_SSP4-45","C6","2050",31730.6013
