"Country","Year","Fuel","Value"
"AE",1971,"BWR",0
"AE",1972,"BWR",0
"AE",1973,"BWR",0
"AE",1974,"BWR",0
"AE",1975,"BWR",0
"AE",1976,"BWR",0
"AE",1977,"BWR",0
"AE",1978,"BWR",0
"AE",1979,"BWR",0
"AE",1980,"BWR",0
"AE",1981,"BWR",0
"AE",1982,"BWR",0
"AE",1983,"BWR",0
"AE",1984,"BWR",0
"AE",1985,"BWR",0
"AE",1986,"BWR",0
"AE",1987,"BWR",0
"AE",1988,"BWR",0
"AE",1989,"BWR",0
"AE",1990,"BWR",0
"AE",1991,"BWR",0
"AE",1992,"BWR",0
"AE",1993,"BWR",0
"AE",1994,"BWR",0
"AE",1995,"BWR",0
"AE",1996,"BWR",0
"AE",1997,"BWR",0
"AE",1998,"BWR",0
"AE",1999,"BWR",0
"AE",2000,"BWR",0
"AE",2001,"BWR",0
"AE",2002,"BWR",0
"AE",2003,"BWR",0
"AE",2004,"BWR",0
"AE",2005,"BWR",0
"AE",2006,"BWR",0
"AE",2007,"BWR",0
"AE",2008,"BWR",0
"AE",2009,"BWR",0
"AE",2010,"BWR",0
"AE",2011,"BWR",0
"AE",2012,"BWR",0
"AE",2013,"BWR",0
"AE",2014,"BWR",0
"AE",2015,"BWR",0
"AE",2016,"BWR",0
"AE",2017,"BWR",0
"AE",2018,"BWR",0
"AE",2019,"BWR",0
"AE",2020,"BWR",0
"AFR",1971,"BWR",264
"AFR",1972,"BWR",265
"AFR",1973,"BWR",259
"AFR",1974,"BWR",248
"AFR",1975,"BWR",231
"AFR",1976,"BWR",242
"AFR",1977,"BWR",248
"AFR",1978,"BWR",245
"AFR",1979,"BWR",253
"AFR",1980,"BWR",255
"AFR",1981,"BWR",266
"AFR",1982,"BWR",275
"AFR",1983,"BWR",257
"AFR",1984,"BWR",252
"AFR",1985,"BWR",284
"AFR",1986,"BWR",306
"AFR",1987,"BWR",312
"AFR",1988,"BWR",316
"AFR",1989,"BWR",310
"AFR",1990,"BWR",474
"AFR",1991,"BWR",517
"AFR",1992,"BWR",600
"AFR",1993,"BWR",613
"AFR",1994,"BWR",512
"AFR",1995,"BWR",562
"AFR",1996,"BWR",686
"AFR",1997,"BWR",802
"AFR",1998,"BWR",972
"AFR",1999,"BWR",948
"AFR",2000,"BWR",1218
"AFR",2001,"BWR",1268
"AFR",2002,"BWR",1261
"AFR",2003,"BWR",1255
"AFR",2004,"BWR",1369
"AFR",2005,"BWR",1404
"AFR",2006,"BWR",2147
"AFR",2007,"BWR",1548
"AFR",2008,"BWR",1656
"AFR",2009,"BWR",2161
"AFR",2010,"BWR",2222
"AFR",2011,"BWR",1949
"AFR",2012,"BWR",1940
"AFR",2013,"BWR",2054
"AFR",2014,"BWR",2081
"AFR",2015,"BWR",2304
"AFR",2016,"BWR",2309
"AFR",2017,"BWR",2324.797
"AFR",2018,"BWR",2311.818
"AFR",2019,"BWR",2041.863
"AFR",2020,"BWR",1966.905
"AL",1971,"BWR",0
"AL",1972,"BWR",0
"AL",1973,"BWR",0
"AL",1974,"BWR",0
"AL",1975,"BWR",0
"AL",1976,"BWR",0
"AL",1977,"BWR",0
"AL",1978,"BWR",0
"AL",1979,"BWR",0
"AL",1980,"BWR",0
"AL",1981,"BWR",0
"AL",1982,"BWR",0
"AL",1983,"BWR",0
"AL",1984,"BWR",0
"AL",1985,"BWR",0
"AL",1986,"BWR",0
"AL",1987,"BWR",0
"AL",1988,"BWR",0
"AL",1989,"BWR",0
"AL",1990,"BWR",0
"AL",1991,"BWR",0
"AL",1992,"BWR",0
"AL",1993,"BWR",0
"AL",1994,"BWR",0
"AL",1995,"BWR",0
"AL",1996,"BWR",0
"AL",1997,"BWR",0
"AL",1998,"BWR",0
"AL",1999,"BWR",0
"AL",2000,"BWR",0
"AL",2001,"BWR",0
"AL",2002,"BWR",0
"AL",2003,"BWR",0
"AL",2004,"BWR",0
"AL",2005,"BWR",0
"AL",2006,"BWR",0
"AL",2007,"BWR",0
"AL",2008,"BWR",0
"AL",2009,"BWR",0
"AL",2010,"BWR",0
"AL",2011,"BWR",0
"AL",2012,"BWR",0
"AL",2013,"BWR",0
"AL",2014,"BWR",0
"AL",2015,"BWR",0
"AL",2016,"BWR",0
"AL",2017,"BWR",0
"AL",2018,"BWR",0
"AL",2019,"BWR",0
"AL",2020,"BWR",0
"AL",2021,"BWR",0
"AM",1990,"BWR",0
"AM",1991,"BWR",0
"AM",1992,"BWR",0
"AM",1993,"BWR",0
"AM",1994,"BWR",0
"AM",1995,"BWR",0
"AM",1996,"BWR",0
"AM",1997,"BWR",0
"AM",1998,"BWR",0
"AM",1999,"BWR",0
"AM",2000,"BWR",0
"AM",2001,"BWR",0
"AM",2002,"BWR",0
"AM",2003,"BWR",0
"AM",2004,"BWR",0
"AM",2005,"BWR",0
"AM",2006,"BWR",0
"AM",2007,"BWR",0
"AM",2008,"BWR",0
"AM",2009,"BWR",0
"AM",2010,"BWR",0
"AM",2011,"BWR",0
"AM",2012,"BWR",0
"AM",2013,"BWR",0
"AM",2014,"BWR",0
"AM",2015,"BWR",0
"AM",2016,"BWR",0
"AM",2017,"BWR",0
"AM",2018,"BWR",0
"AM",2019,"BWR",0
"AM",2020,"BWR",0
"AM",2021,"BWR",0
"AO",1971,"BWR",0
"AO",1972,"BWR",0
"AO",1973,"BWR",0
"AO",1974,"BWR",0
"AO",1975,"BWR",0
"AO",1976,"BWR",0
"AO",1977,"BWR",0
"AO",1978,"BWR",0
"AO",1979,"BWR",0
"AO",1980,"BWR",0
"AO",1981,"BWR",0
"AO",1982,"BWR",0
"AO",1983,"BWR",0
"AO",1984,"BWR",0
"AO",1985,"BWR",0
"AO",1986,"BWR",0
"AO",1987,"BWR",0
"AO",1988,"BWR",0
"AO",1989,"BWR",0
"AO",1990,"BWR",0
"AO",1991,"BWR",0
"AO",1992,"BWR",0
"AO",1993,"BWR",0
"AO",1994,"BWR",0
"AO",1995,"BWR",0
"AO",1996,"BWR",0
"AO",1997,"BWR",0
"AO",1998,"BWR",0
"AO",1999,"BWR",0
"AO",2000,"BWR",0
"AO",2001,"BWR",0
"AO",2002,"BWR",0
"AO",2003,"BWR",0
"AO",2004,"BWR",0
"AO",2005,"BWR",0
"AO",2006,"BWR",0
"AO",2007,"BWR",0
"AO",2008,"BWR",0
"AO",2009,"BWR",0
"AO",2010,"BWR",0
"AO",2011,"BWR",0
"AO",2012,"BWR",0
"AO",2013,"BWR",0
"AO",2014,"BWR",0
"AO",2015,"BWR",0
"AO",2016,"BWR",0
"AO",2017,"BWR",0
"AO",2018,"BWR",0
"AO",2019,"BWR",0
"AO",2020,"BWR",0
"AR",1971,"BWR",59
"AR",1972,"BWR",76
"AR",1973,"BWR",60
"AR",1974,"BWR",61
"AR",1975,"BWR",64
"AR",1976,"BWR",61
"AR",1977,"BWR",64
"AR",1978,"BWR",64
"AR",1979,"BWR",95
"AR",1980,"BWR",99
"AR",1981,"BWR",87
"AR",1982,"BWR",115
"AR",1983,"BWR",155
"AR",1984,"BWR",115
"AR",1985,"BWR",120
"AR",1986,"BWR",124
"AR",1987,"BWR",106
"AR",1988,"BWR",123
"AR",1989,"BWR",106
"AR",1990,"BWR",133
"AR",1991,"BWR",131
"AR",1992,"BWR",130
"AR",1993,"BWR",96
"AR",1994,"BWR",99
"AR",1995,"BWR",119
"AR",1996,"BWR",223
"AR",1997,"BWR",271
"AR",1998,"BWR",283
"AR",1999,"BWR",262
"AR",2000,"BWR",386
"AR",2001,"BWR",363
"AR",2002,"BWR",530
"AR",2003,"BWR",892
"AR",2004,"BWR",818
"AR",2005,"BWR",870
"AR",2006,"BWR",809
"AR",2007,"BWR",884
"AR",2008,"BWR",988
"AR",2009,"BWR",991
"AR",2010,"BWR",1165
"AR",2011,"BWR",1162
"AR",2012,"BWR",1372
"AR",2013,"BWR",1314
"AR",2014,"BWR",988
"AR",2015,"BWR",1194
"AR",2016,"BWR",1214
"AR",2017,"BWR",1389.037
"AR",2018,"BWR",1360.108
"AR",2019,"BWR",1649.902
"AR",2020,"BWR",2313.315
"AR",2021,"BWR",2257.702
"ASIA",1971,"BWR",5
"ASIA",1972,"BWR",5
"ASIA",1973,"BWR",5
"ASIA",1974,"BWR",5
"ASIA",1975,"BWR",5
"ASIA",1976,"BWR",5
"ASIA",1977,"BWR",5
"ASIA",1978,"BWR",6
"ASIA",1979,"BWR",27
"ASIA",1980,"BWR",27
"ASIA",1981,"BWR",370
"ASIA",1982,"BWR",372
"ASIA",1983,"BWR",881
"ASIA",1984,"BWR",856
"ASIA",1985,"BWR",1019
"ASIA",1986,"BWR",1110
"ASIA",1987,"BWR",488
"ASIA",1988,"BWR",491
"ASIA",1989,"BWR",699
"ASIA",1990,"BWR",754
"ASIA",1991,"BWR",516
"ASIA",1992,"BWR",533
"ASIA",1993,"BWR",510
"ASIA",1994,"BWR",535
"ASIA",1995,"BWR",967.3
"ASIA",1996,"BWR",1679.5
"ASIA",1997,"BWR",1264.5
"ASIA",1998,"BWR",1324.5
"ASIA",1999,"BWR",2005.5
"ASIA",2000,"BWR",2021.5
"ASIA",2001,"BWR",2818.5
"ASIA",2002,"BWR",3715.3
"ASIA",2003,"BWR",4942.5
"ASIA",2004,"BWR",7511.42
"ASIA",2005,"BWR",9105.546
"ASIA",2006,"BWR",12057.701
"ASIA",2007,"BWR",14505.429
"ASIA",2008,"BWR",14422.119
"ASIA",2009,"BWR",19074.276
"ASIA",2010,"BWR",23844.555
"ASIA",2011,"BWR",27793.163
"ASIA",2012,"BWR",29374.344
"ASIA",2013,"BWR",34121.415
"ASIA",2014,"BWR",38822.346
"ASIA",2015,"BWR",38864.23
"ASIA",2016,"BWR",51758.655
"ASIA",2017,"BWR",56094.26
"ASIA",2018,"BWR",69126.832
"ASIA",2019,"BWR",71552.691
"ASIA",2020,"BWR",72608.031
"AT",1960,"BWR",0
"AT",1961,"BWR",0
"AT",1962,"BWR",0
"AT",1963,"BWR",0
"AT",1964,"BWR",0
"AT",1965,"BWR",0
"AT",1966,"BWR",0
"AT",1967,"BWR",0
"AT",1968,"BWR",0
"AT",1969,"BWR",0
"AT",1970,"BWR",180
"AT",1971,"BWR",233
"AT",1972,"BWR",211
"AT",1973,"BWR",202
"AT",1974,"BWR",213
"AT",1975,"BWR",218
"AT",1976,"BWR",254
"AT",1977,"BWR",273
"AT",1978,"BWR",302
"AT",1979,"BWR",331
"AT",1980,"BWR",324
"AT",1981,"BWR",500
"AT",1982,"BWR",475
"AT",1983,"BWR",559
