"","X","model_scenario","temp","Value","L","share2030","u2030","Value2040","nuclear_value","wind_value","solar_value","group"
"1",1,"AIM/CGE 2.0_SSP1-26","2.0°C",34.67,9219.4939,0.164523731987438,44.0767449607964,1336.2654,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"2",7,"AIM/CGE 2.1_CD-LINKS_NPi2020_1000","2.0°C",165.1229,25642.0757,0.783577610169843,41.9544439421155,5486.5234,31.0432042198686,26.111302575684,32.001655934855,"above"
"3",47,"COFFEE 1.1_CO_2Deg2030","2.0°C",34.67,23622.737095,0.164523731987438,53.7474789051856,2558.785451,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"4",50,"COFFEE 1.1_EN_INDCi2030_1000","2.0°C",34.67,17343.495728,0.164523731987438,56.0320606394723,2965.461446,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"5",51,"COFFEE 1.1_EN_INDCi2030_1000_NDCp","2.0°C",34.67,17339.673943,0.164523731987438,57.6101881646144,3279.417553,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"6",53,"COFFEE 1.1_EN_INDCi2030_1200","2.0°C",34.67,16904.89715375,0.164523731987438,52.6607878445579,2383.57507317,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"7",63,"COFFEE 1.1_EN_INDCi2030_400f","1.5°C",34.67,25489.044897,0.164523731987438,57.715515837177,3301.399255,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"8",64,"COFFEE 1.1_EN_INDCi2030_500","2.0°C",34.67,17199.034708,0.164523731987438,61.9387417136498,4299.930597,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"9",65,"COFFEE 1.1_EN_INDCi2030_500f","1.5°C",34.67,25450.620208,0.164523731987438,55.7120375399581,2905.197875,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"10",66,"COFFEE 1.1_EN_INDCi2030_600","2.0°C",34.67,16995.702096,0.164523731987438,61.9095479860735,4292.185124,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"11",67,"COFFEE 1.1_EN_INDCi2030_600_NDCp","2.0°C",34.67,17323.932982,0.164523731987438,61.9992595848524,4316.02685,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"12",68,"COFFEE 1.1_EN_INDCi2030_600f","2.0°C",34.67,23567.811438,0.164523731987438,53.7474789051856,2558.785451,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"13",69,"COFFEE 1.1_EN_INDCi2030_700","2.0°C",34.67,17241.461025,0.164523731987438,61.5304447677578,4192.738057,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"14",70,"COFFEE 1.1_EN_INDCi2030_700f","2.0°C",34.67,23625.351569,0.164523731987438,52.3664863884204,2338.020791,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"15",71,"COFFEE 1.1_EN_INDCi2030_800","2.0°C",34.67,17343.495728,0.164523731987438,56.0320606394723,2965.461446,37.8042633159259,29.9583390275167,46.7758566576754,"above"
