"","Country","temp","Year","Value"
"1","AIM/CGE 2.0_SSP1-26","2.0°C",2000,9.151645
"2","AIM/CGE 2.0_SSP1-26","2.0°C",2010,14.4686
"3","AIM/CGE 2.0_SSP1-26","2.0°C",2020,34.9323323
"4","AIM/CGE 2.0_SSP1-26","2.0°C",2030,34.9323323
"5","AIM/CGE 2.0_SSP1-26","2.0°C",2040,1336.2654
"6","AIM/CGE 2.0_SSP1-26","2.0°C",2050,4553.8003
"7","AIM/CGE 2.0_SSP1-26","2.0°C",2060,7639.6964
"8","AIM/CGE 2.0_SSP1-26","2.0°C",2070,8715.8678
"9","AIM/CGE 2.0_SSP1-26","2.0°C",2080,9110.8833
"10","AIM/CGE 2.0_SSP1-26","2.0°C",2090,9117.6701
"11","AIM/CGE 2.0_SSP1-26","2.0°C",2100,9219.4939
"12","AIM/CGE 2.0_SSP1-34","2.5°C",2000,9.151645
"13","AIM/CGE 2.0_SSP1-34","2.5°C",2010,14.4686
"14","AIM/CGE 2.0_SSP1-34","2.5°C",2020,34.9323323
"15","AIM/CGE 2.0_SSP1-34","2.5°C",2030,34.9323323
"16","AIM/CGE 2.0_SSP1-34","2.5°C",2040,34.9323323
"17","AIM/CGE 2.0_SSP1-34","2.5°C",2050,34.9323323
"18","AIM/CGE 2.0_SSP1-34","2.5°C",2060,368.9161
"19","AIM/CGE 2.0_SSP1-34","2.5°C",2070,2495.4861
"20","AIM/CGE 2.0_SSP1-34","2.5°C",2080,4086.5835
"21","AIM/CGE 2.0_SSP1-34","2.5°C",2090,5525.6711
"22","AIM/CGE 2.0_SSP1-34","2.5°C",2100,6312.408
"23","AIM/CGE 2.0_SSP4-26","2.0°C",2000,9.151645
"24","AIM/CGE 2.0_SSP4-26","2.0°C",2010,14.4686
"25","AIM/CGE 2.0_SSP4-26","2.0°C",2020,34.9323323
"26","AIM/CGE 2.0_SSP4-26","2.0°C",2030,587.5846
"27","AIM/CGE 2.0_SSP4-26","2.0°C",2040,5483.0044
"28","AIM/CGE 2.0_SSP4-26","2.0°C",2050,12470.7935
"29","AIM/CGE 2.0_SSP4-26","2.0°C",2060,18040.6882
"30","AIM/CGE 2.0_SSP4-26","2.0°C",2070,20236.2297
"31","AIM/CGE 2.0_SSP4-34","2.5°C",2000,9.151645
"32","AIM/CGE 2.0_SSP4-34","2.5°C",2010,14.4686
"33","AIM/CGE 2.0_SSP4-34","2.5°C",2020,34.9323323
"34","AIM/CGE 2.0_SSP4-34","2.5°C",2030,34.9323323
"35","AIM/CGE 2.0_SSP4-34","2.5°C",2040,1074.9653
"36","AIM/CGE 2.0_SSP4-34","2.5°C",2050,2932.3526
"37","AIM/CGE 2.0_SSP4-34","2.5°C",2060,6493.7639
"38","AIM/CGE 2.0_SSP4-34","2.5°C",2070,10064.4903
"39","AIM/CGE 2.0_SSP4-34","2.5°C",2080,12606.293
"40","AIM/CGE 2.0_SSP4-34","2.5°C",2090,14135.7214
"41","AIM/CGE 2.0_SSP4-34","2.5°C",2100,15688.0611
"42","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","2.5°C",2000,9.151645
"43","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","2.5°C",2010,14.4686
"44","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","2.5°C",2020,34.9323323
"45","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","2.5°C",2030,447.8407
"46","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","2.5°C",2040,1729.137
