"Country","Fit","L","TMax","K","dT","G","Maturity","RSS.Rel","Good","Future","TMax_top","TMax_bot"
"AIM/CGE 2.0_SSP1-26","G",9287.41771205739,2046.40140110026,0.112078639742174,27.5199608030197,382.933488715866,0.997542198966565,1.2301994307014,1,0,2050,2040
"AIM/CGE 2.0_SSP1-26","S",9125.78118883585,2050.2134348773,0.172283358669484,25.5071017224766,393.055058423858,0.999811720868229,1,1,0,2060,2050
"AIM/CGE 2.0_SSP1-34","G",6866.53453917811,2071.20017017717,0.0823762498840302,37.4428282047634,208.087093514256,0.91096154728248,1,1,0,2080,2070
"AIM/CGE 2.0_SSP1-34","S",6380.54483800818,2075.04910553301,0.136931007803351,32.0924327160682,218.423608750732,0.968217813774603,3.07959899140768,1,0,2080,2070
"AIM/CGE 2.0_SSP4-26","G",22238.9276168181,2043.77607147095,0.0924412320824227,33.3660608267345,756.284299724684,0.915256078224518,1.00000000000456,1,0,2050,2040
"AIM/CGE 2.0_SSP4-26","S",20627.1188718464,2047.17391116263,0.157636313588552,27.8771372828626,812.895744727681,0.973356897007486,6.41685752964164,1,0,2050,2040
"AIM/CGE 2.0_SSP4-34","G",17210.2816877513,2059.48712361489,0.0564323428430843,54.6565961497803,357.290589394038,0.90334720913549,1,1,0,2060,2050
"AIM/CGE 2.0_SSP4-34","S",15635.7006939649,2064.3305252549,0.0997294990129088,44.0636842475628,389.835149231228,0.97227485695221,4.39994613346865,1,0,2070,2060
"AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","G",18550.6512056356,2049.86807627636,0.0703856120623176,43.8214527399371,480.339796114304,0.971079475131407,1,1,0,2050,2040
"AIM/CGE 2.1_CD-LINKS_INDC2030i_1600","S",17566.6996765464,2054.53776252615,0.115716231554383,37.9760824876774,508.188071854388,0.994835241530567,1.61257840400763,1,0,2060,2050
"AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","G",23443.0522830528,2047.57635895553,0.092374866458787,33.3900322761116,796.660891214869,0.992144704626405,1,1,0,2050,2040
"AIM/CGE 2.1_CD-LINKS_NDC2030i_1000","S",22746.0098327597,2051.64921545859,0.143801080282114,30.5592221285909,817.725196514604,0.999045048932357,2.10873995641572,1,0,2060,2050
"AIM/CGE 2.1_CD-LINKS_NPi2020_1000","G",25115.5141140412,2046.26569020942,0.0695789163278449,44.3295172639251,642.873096077134,0.976497373212911,1,1,0,2050,2040
"AIM/CGE 2.1_CD-LINKS_NPi2020_1000","S",24038.7562291592,2051.4947810856,0.111507018008707,39.4096195302192,670.122505937944,0.995542378296557,3.02971473395868,1,0,2060,2050
"AIM/CGE 2.1_CD-LINKS_NPi2020_1600","G",18097.0565025611,2053.06733154983,0.0492469896184625,62.6312348522532,327.863558655204,0.905622228896346,1,1,0,2060,2050
"AIM/CGE 2.1_CD-LINKS_NPi2020_1600","S",16245.7398488361,2058.07428266391,0.0893422757687074,49.1866713362994,362.857842410348,0.976926778470929,1.39849144775642,1,0,2060,2050
"AIM/CGE 2.1_CD-LINKS_NPi2020_400","G",15763.1292374248,2039.37888463518,0.143334004941673,21.5189673505289,831.184029690583,0.987664166472848,1,1,0,2040,2030
"AIM/CGE 2.1_CD-LINKS_NPi2020_400","S",15253.5873744496,2041.93795757815,0.226547706766823,19.3974559150823,863.916309912234,0.998269117249701,1.60354898753408,1,0,2050,2040
