"","Country","L","TMax","dT","G","G_TMax","G_2022","temp"
"1","AIM/CGE 2.0_SSP1-26",9,2048.30741798878,26.5135312627482,387.994273569862,2.26495802331772,1.84066736358396,"2.0°C"
"2","AIM/CGE 2.0_SSP1-34",6,2073.12463785509,34.7676304604158,213.255351132494,1.30868332314777,1.01169576892876,"2.5°C"
"3","AIM/CGE 2.0_SSP4-26",21,2045.47499131679,30.6215990547985,784.590022226183,3.34149464652518,3.72214062444225,"2.0°C"
"4","AIM/CGE 2.0_SSP4-34",16,2061.9088244349,49.3601401986715,373.562869312633,1.56963259489684,1.7722039437954,"2.5°C"
"5","AIM/CGE 2.1_CD-LINKS_INDC2030i_1600",17.5,2052.20291940125,40.8987676138073,494.263933984346,3.47838198989946,2.34481680337941,"2.5°C"
"6","AIM/CGE 2.1_CD-LINKS_NDC2030i_1000",22.5,2049.61278720706,31.9746272023513,807.193043864737,5.6354378688693,3.82937067159133,"2.0°C"
"7","AIM/CGE 2.1_CD-LINKS_NPi2020_1000",24.5,2048.88023564751,41.8695683970722,656.497801007539,4.23206878822346,3.11446368901532,"2.0°C"
"8","AIM/CGE 2.1_CD-LINKS_NPi2020_1600",17,2055.57080710687,55.9089530942763,345.360700532776,2.42256512893195,1.63841121748079,"2.5°C"
"9","AIM/CGE 2.1_CD-LINKS_NPi2020_400",15,2040.65842110666,20.4582116328056,847.550169801409,7.60661953881343,4.02082722046306,"1.5°C"
"10","AIM/CGE 2.1_CO_Bridge",16,2044.12342884797,26.4605129844904,685.386613430064,4.0242421689016,3.25151389264227,"2.0°C"
"11","AIM/CGE 2.2_EN_INDCi2030_1000f",20,2048.49161996283,36.8147518402166,626.612905786686,3.02495384395304,2.97268801075329,"2.0°C"
"12","AIM/CGE 2.2_EN_INDCi2030_1200",19,2047.08364262182,33.6286843685337,644.0277653914,3.0574602223619,3.05530511595142,"2.0°C"
"13","AIM/CGE 2.2_EN_INDCi2030_1200f",23.5,2051.72608339735,46.9891904760747,575.947318612431,2.51320843797624,2.73232752318626,"2.0°C"
"14","AIM/CGE 2.2_EN_INDCi2030_1400",21,2048.45259360243,38.1420704201784,624.030264190729,2.57897000536224,2.96043580905512,"2.0°C"
"15","AIM/CGE 2.2_EN_INDCi2030_1400f",24.5,2053.72969532387,51.8656033995807,537.894112257693,2.19138864988365,2.55180090259355,"2.0°C"
"16","AIM/CGE 2.2_EN_INDCi2030_1600",26,2056.76208769756,60.0410922303926,496.559172920236,2.04358665594261,2.35570555016953,"2.5°C"
"17","AIM/CGE 2.2_EN_INDCi2030_1600f",24.5,2057.20400911544,59.0358797597145,476.485418950486,1.96370145488143,2.26047449570893,"2.5°C"
"18","AIM/CGE 2.2_EN_INDCi2030_1800",23,2058.98665315781,57.4683596413187,469.095056649543,1.94833137293557,2.22541418781509,"2.5°C"
"19","AIM/CGE 2.2_EN_INDCi2030_1800f",23,2058.98665315781,57.4683596413187,469.095056649543,1.94833137293557,2.22541418781509,"2.5°C"
"20","AIM/CGE 2.2_EN_INDCi2030_800f",19.5,2045.53968403919,24.8309381011853,890.316218383927,4.4586700219907,4.22371183824625,"2.0°C"
"21","AIM/CGE 2.2_EN_INDCi2030_900f",20,2047.22347109252,32.1441259642056,713.22273448879,3.50878889207538,3.38357006731244,"2.0°C"
"22","AIM/CGE 2.2_EN_NPi2020_1000",18.5,2038.53449040719,35.3817068497031,602.717396959295,2.59540830732423,2.85932632932916,"2.0°C"
"23","AIM/CGE 2.2_EN_NPi2020_1000f",23,2045.9794400064,55.2609866587548,481.317147447466,1.96010966257031,2.28339649626389,"2.0°C"
"24","AIM/CGE 2.2_EN_NPi2020_1200",21,2042.69936029489,48.1447815211734,501.755801893278,2.00289603789774,2.38035865977171,"2.0°C"
"25","AIM/CGE 2.2_EN_NPi2020_1200f",24.5,2049.92374062439,62.8756129026585,445.06757564864,1.84096710181404,2.11142642273656,"2.0°C"
"26","AIM/CGE 2.2_EN_NPi2020_1400",24,2050.21602826651,61.4395854814504,442.065259652337,1.83084052545882,2.0971832613138,"2.0°C"
"27","AIM/CGE 2.2_EN_NPi2020_1400f",24,2052.93205770599,64.5168548881302,431.889993314648,1.79544100285706,2.04891120695786,"2.0°C"
"28","AIM/CGE 2.2_EN_NPi2020_1600",23,2055.15462538214,64.0507817016168,418.55979181559,1.74478019471515,1.98567195699791,"2.5°C"
"29","AIM/CGE 2.2_EN_NPi2020_1600f",24,2056.03696148276,66.0692930541965,418.63324261074,1.7468330395292,1.98602041183519,"2.5°C"
"30","AIM/CGE 2.2_EN_NPi2020_1800",21.5,2056.42317173498,58.2037253067039,430.062315902454,1.79165076488937,2.04024059918618,"2.5°C"
