"","model_scenario","Category","Variable","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"1","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|Basket|Greenhouse Gases|CICERO-SCM|50.0th Percentile",3.80170469511,3.8176650051,3.67604332292,3.501179803989,3.3425884403753,3.20088849946278,3.06604751490808,2.95016342748785,2.84939759636506
"2","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|Basket|Greenhouse Gases|FaIRv1.6.2|50.0th Percentile",3.38177441735968,3.56147546365972,3.54390965368255,3.48437221526582,3.4210489032301,3.3647720875947,3.30149702004453,3.23911191974575,3.18295101458358
"3","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|Basket|Non-CO2 Greenhouse Gases|CICERO-SCM|50.0th Percentile",1.53636469511,1.4046050051,1.24674332292,1.100129803989,0.9870484403753,0.90521849946278,0.844817514908083,0.804893427487851,0.775437596365062
"4","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|Basket|Non-CO2 Greenhouse Gases|FaIRv1.6.2|50.0th Percentile",1.13019195890336,1.08645398245363,0.993840970789607,0.911857165980024,0.84912828185693,0.811050151577891,0.785321489158664,0.767956162324375,0.755203582842034
"5","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CH4|CICERO-SCM|50.0th Percentile",0.558396,0.514009,0.436419,0.355411,0.286209,0.238555,0.206311,0.185215,0.170698
"6","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CH4|FaIRv1.6.2|50.0th Percentile",0.549975279217035,0.50002825647391,0.421127590326518,0.347415445531489,0.288832164973464,0.251180103084945,0.226173908472027,0.210257008676359,0.199021948720185
"7","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|33.0th Percentile",2.90678459757,3.2307350728734,3.2058046678681,3.1098674167277,2.9573501219073,2.84362916620063,2.71665879678239,2.6098386449651,2.5235334939992
"8","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|5.0th Percentile",2.63765649757,3.1036385728734,3.1222576678681,3.0488485167277,2.9002627219073,2.79026996620063,2.66534679678239,2.5610571449651,2.4778134939992
"9","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|50.0th Percentile",2.98812349757,3.2691495728734,3.2310576678681,3.1283055167277,2.9746032219073,2.85975396620063,2.73217029678239,2.6245801449651,2.5373499939992
"10","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|67.0th Percentile",3.07564179757,3.3104770728734,3.2582237678681,3.1481434167277,2.9931695219073,2.87710196620063,2.74885499678239,2.6404448449651,2.5522163939992
"11","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|95.0th Percentile",3.20220099757,3.3702435728734,3.2975136678681,3.1768350167277,3.0200072219073,2.90219246620063,2.77298829678239,2.6633876449651,2.5737124939992
"12","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CO2|CICERO-SCM|50.0th Percentile",2.26534,2.41306,2.4293,2.40105,2.35554,2.29567,2.22123,2.14527,2.07396
"13","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|CO2|FaIRv1.6.2|50.0th Percentile",2.24824173453853,2.47420194506259,2.54741277339084,2.57209201428511,2.57129741321218,2.5562627969738,2.51853925989462,2.47315569500898,2.43074517197819
"14","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|33.0th Percentile",2.72394208415903,3.1283433052216,3.198125882451,3.20982943780143,3.16961601475874,3.15679799649255,3.12155654205963,3.0857792018731,3.05372590390778
